model,cv_macro_pr_auc,cv_micro_pr_auc,val_macro_pr_auc,val_micro_pr_auc,test_macro_pr_auc,test_micro_pr_auc,other_macro_pr_auc,other_micro_pr_auc,val_n_rare_classes,test_n_rare_classes,other_n_rare_classes
single_embedding_1,0.6475 ± 0.0455,0.8433 ± 0.0328,0.6726543651533187,0.8697631992620726,0.6715459526160887,0.8575032562014357,0.32742770933220133,0.4563658372499284,2,2,2
single_embedding_2,0.6763 ± 0.0770,0.8912 ± 0.0223,0.7386165314966243,0.894281785988391,0.6748502197667632,0.8875247193449508,0.5255820405581533,0.662618039479375,2,2,2
single_embedding_3,0.6947 ± 0.0798,0.8968 ± 0.0270,0.748272675578635,0.916887252190258,0.718475912472813,0.8820373808887673,0.4158827075576615,0.5779788556287628,2,2,2
combined_embedding_1_2,0.6983 ± 0.0671,0.8829 ± 0.0282,0.7576535858097925,0.9151567668305637,0.780025697466164,0.8976730955521116,0.42237327456471513,0.4958916018809708,2,2,2
combined_embedding_1_3,0.7124 ± 0.0782,0.8802 ± 0.0298,0.7143413978083398,0.9273669768083369,0.744135425741829,0.8874524173914522,0.4017763339778486,0.5153622963167945,2,2,2
combined_embedding_2_3,0.6881 ± 0.0605,0.9043 ± 0.0300,0.745167970247454,0.9237107870613935,0.7382398412222803,0.9125954353413963,0.5002107934216661,0.6079345174150893,2,2,2
combined_embedding_all,0.7219 ± 0.0757,0.9019 ± 0.0231,0.73238258555611,0.8995120638440803,0.7540522496445398,0.8862148607336405,0.44936316493730927,0.6071820341606562,2,2,2
